,CATEGORY,COMPANY/ORGANISATION,PHONE,EMAIL,WEBSITE,ADDRESS,LATLONG,
,Emergency Contact,Fire & Rescue Department ,8318 8944,,,,"2.912573, 101.657129",
,Emergency Contact,Cyberjaya Police Station,8318 2222,,,"Jalan Multimedia 5, Cyberjaya, 63000 Sepang, Selangor. ","2.907098, 101.652461",
,Utility,Cyber City Manager,8315 6193,,,"Cyberview Sdn Bhd, SME Technopreneur Centre, 2270 Jalan Usahawan 2, Cyber 6, 63000 Cyberjaya","2.93772, 101.6474900",
,Utility,Sepang Municipal Council,8778 2000,,,"Persiaran Semarak Api, Cyber 1, 63000 Cyberjaya","2.933912, 101.645586",
,Utility,Indah Water Konsortium ,8070 6832,,,,"2.923750, 101.631806",
,Utility,Telekom Malaysia (TM) ,8318 1010,,,,"2.930179, 101.658686",
,Utility,Tenaga Nasional Berhad (TNB),8886 6888,,,,"2.9291235,101.6487526",
,Transportation,Taxi (24 Hours),8318 0700,,,,,
,Transportation,Dedicated Transportation System (DTS),1 300 277 387,,,,"2.920801, 101.652140",
,Restaurant & bar,Al-Mukalla 0383223722,,,,"45-G, NeoCyber, The Domain, Lingkaran Cyberpoint Barat","2.914917,101.651033",
,Restaurant & bar,Acacia 0383224355,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923511,101.662683",
,Restaurant & bar,Alrayan Restaurant 0122725594,,,,"30/G Lingkaran Cyber Point Barat, Domain","2.9160558,101.6505031",
,Restaurant & bar,Anggrek Kuring 0383223067,,,,"P3A-23, Shaftsbury Square, Persiaran Multimedia,Cyber 6","2.923602,101.660764",
,Restaurant & bar,Asam Pedas 038322227 1,,,,"PNo.5, Block C, Jalan GC 1, Glomac Cyberjaya, Cyber 12",,
,Restaurant & bar,Bayou Coffee House 0383180008,,,,Kelab Comuniti Taman Tasik,"2.930499,101.64749",
,Restaurant & bar,Big Island 0382136299,,,,"Unit P1-31 2350 Shaftsbury Square, Persiaran Multimedia",,
,Restaurant & bar,Burger King 1300305555,,,,"Prima 11, Prima Avenue, Block 3545, Jalan Teknokrat 6","2.91414,101.655478",
,Restaurant & bar,Chatime,,,,"P1-30, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923261,101.660276",
,Restaurant & bar,Chillout 03 8 3 2 0 9 8 8 2,,,,"No.3A, Biz Avenue Lingkaran Cyber Point Barat, NeoCyber","2.917844,101.649502",
,Restaurant & bar,D’fish 03 8 3 2 2 6 5 2 2,,,,"P1-05 - (G F) Shaftsbury Square, Cyber 6, Persiaran Multimedia","2.92325,101.660206",
,Restaurant & bar,Kitchen Village 0383202898,,,,"Prima 4, Prima Avenue, Block 3513, Jalan Teknokrat 5","2.921309,101.656414",
,Restaurant & bar,Ko Hyang Korean 0383226168,,,,"P1, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.922597,101.661696",
,Restaurant & bar,Lok Yoon Restaurant 01123049272,,,,"Prima 11, Prima Avenue, Block 3545, Jalan Teknokrat 6",,
,Restaurant & bar,Manhattan Fish,,,,"Lot UG - 13 , D'Pulze Shopping Centre","2.921682,101.650852",
,Restaurant & bar,My Takoyaki 01126283213,,,,Street Mall,,
,Restaurant & bar,NoodleShack 0386882556,,,,"LG,03, DPulze Shopping Centre","2.9291235,101.6487526",
,Restaurant & bar,O’Briens 0383226513,,,,"P1-19, Shaftsbury Square, Persiaran Multimedia, Cyber 6","2.923326,101.661816",
,Restaurant & bar,Oldtown White Coffee 038326682,,,,"Prima 3, Prima Avenue, Block 3503, Jalan Teknokrat 5","2.921263,101.656934",
,Restaurant & bar,Padi House 0126967521,,,,"Prima 3, Prima Avenue, Block 3503, Jalan Teknokrat 5","2.921027,101.65709",
,Restaurant & bar,Pizza Pizza 0383193230,,,,"No. 42G, NeoCyber, Lingkaran Cyber Point Barat","2.91508,101.650925",
,Restaurant & bar,Puffy Buffy Pastry 0386010740,,,,"Suite 4809-G-32, CBD Perdana 2","2.926884,101.651556",
,Restaurant & bar,Rangeela 0383225542,,,,"P2 - 23 , Shaftsbury Square, Persiaran Multimedia","2.923247,101.661153",
,Restaurant & bar,Rasa Seri Alamanda 0383221507,,,,"No. 52-53G, NeoCyber, Lingkaran Cyber Point Barat","2.9291235,101.6487526",
